,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
91,14,2,81,865,41,2,1,2,2,22,9,0,1,8000,255000
92,8,2,83,1209,34,2,2,6,5,22,10,0,1,126000,162500
93,2,2,292,856,45,2,2,2,18,16,0,0,0,0,320000
94,2,2,81,1544,43,2,1,2,2,22,9,0,1,35000,236000
95,2,2,82,1569,40,2,2,4,18,22,9,0,1,141000,222000
96,2,2,82,1569,40,2,1,4,5,22,9,0,1,141000,222000
97,2,2,82,1150,39,2,1,4,5,4,9,0,1,113000,225000
98,2,2,84,1581,42,2,1,1,18,22,9,0,1,80000,450000
99,89,2,82,1150,39,2,1,4,4,4,9,0,1,210000,200000
100,89,2,82,540,21,1,1,2,17,17,9,0,1,100,33500
101,89,2,84,1581,36,2,2,4,18,4,9,0,1,226000,185000
102,38,35,287,366,42,2,1,2,2,4,5,0,1,142000,123500
103,89,2,84,1150,32,2,0,4,3,18,9,0,1,198000,120000
104,89,2,82,1150,37,2,1,4,3,22,9,1,1,168000,165000
105,86,2,84,1122,41,2,1,4,5,22,9,0,1,70000,475000
106,86,2,81,866,44,2,2,2,2,4,5,0,1,19000,249950
107,86,2,81,1533,43,0,2,2,3,4,10,0,1,21000,335000
108,83,2,81,1622,42,0,2,2,3,4,5,0,1,25000,225000
109,83,2,82,371,41,0,1,2,3,3,9,0,1,37700,297900
110,83,2,84,1150,38,2,1,4,5,22,9,0,1,164000,269900
111,83,2,81,1555,39,2,2,2,18,4,5,0,1,79000,162000
112,83,2,294,1154,36,2,1,4,4,4,0,0,1,117000,255000
113,80,2,81,1545,42,2,1,2,4,17,9,0,1,52500,208500
114,80,2,83,1578,42,0,1,2,3,18,5,0,1,29000,445000
115,77,2,83,1578,42,0,1,2,3,4,5,1,1,51750,399999
116,74,2,83,1154,37,2,1,4,2,4,9,0,1,200000,222000
117,66,2,84,992,29,2,2,4,3,11,9,0,1,311000,65000
118,66,2,82,540,26,1,0,2,2,4,9,0,1,300000,42500
119,60,2,82,1150,41,2,2,4,5,22,9,0,1,121280,267500
120,49,2,292,25,44,0,1,1,2,4,0,0,1,4500,265000
121,49,2,82,1150,37,2,2,4,5,22,9,0,1,202000,182500
122,60,20,168,1142,41,2,1,4,5,4,0,0,1,200550,444500
123,49,2,82,1565,33,2,2,4,18,9,9,0,1,290000,86000
124,49,2,295,1158,41,0,1,4,18,8,0,0,1,32000,722000
125,49,2,83,1576,36,0,2,3,18,4,10,0,1,164000,136000
126,49,2,296,1622,45,2,1,8,18,8,0,0,0,0,2215000
127,49,2,81,1547,42,0,2,1,18,18,5,0,1,39500,186000
128,49,2,81,1545,41,2,2,2,18,22,9,0,1,103169,164900
129,49,2,81,1539,44,0,2,2,18,22,9,0,1,16,272500
130,49,2,295,1283,33,2,1,6,18,4,0,0,1,237000,209500
131,46,2,84,1585,32,1,1,4,5,8,9,1,1,255000,118000
132,43,2,81,854,40,2,1,2,2,16,5,1,1,93000,193000
133,43,2,81,694,31,0,0,2,2,22,4,1,1,220000,68500
134,40,2,81,372,35,0,1,2,2,4,5,1,1,68000,127000
135,40,2,1,1062,18,1,1,2,3,22,9,0,1,330000,36500
136,40,2,82,371,41,0,2,2,3,4,9,0,1,168000,242000
137,37,2,82,1568,42,2,1,4,5,4,9,0,1,55000,325000
138,37,2,81,865,42,2,2,3,2,22,9,1,1,52000,210000
139,37,2,82,1571,41,2,2,4,5,8,9,0,1,93000,329900
140,34,2,81,1556,43,2,2,2,18,9,5,0,1,30000,185000
141,34,2,292,856,45,2,2,2,18,9,0,0,0,0,319000
142,24,2,295,1283,31,2,1,6,9,9,0,0,1,274654,162750
143,34,2,293,1622,43,0,2,2,18,22,0,0,1,17500,315000
144,34,2,295,1283,37,2,1,6,18,4,0,0,1,255000,327500
145,34,2,84,1581,37,2,2,4,18,4,9,0,1,138000,238900
146,34,2,84,1581,39,2,2,4,18,22,9,0,1,210000,217000
147,34,2,82,1565,40,2,2,4,18,17,9,0,1,160000,219900
148,34,2,81,1543,41,2,2,2,18,22,9,0,1,120000,175000
149,34,2,84,1584,45,2,2,4,18,22,9,0,0,0,895000
150,34,2,295,1283,37,2,1,6,18,4,0,0,1,198000,327000
151,34,2,81,1546,42,2,2,2,18,9,9,0,1,65000,239500
152,34,2,81,855,37,2,2,2,2,22,5,1,1,195000,118500
153,31,2,82,1569,40,2,2,4,18,11,9,0,1,95000,310000
154,25,2,82,1119,36,2,2,4,5,22,9,1,1,170000,152000
155,25,2,81,26,41,0,1,1,2,4,5,1,1,37000,156000
156,22,2,82,978,23,1,1,3,3,17,9,1,1,384000,48500
157,13,2,81,851,40,2,1,2,2,4,5,0,1,46000,192750
158,1,2,83,1579,40,2,2,4,5,4,5,0,1,71000,289900
159,1,2,82,1572,36,0,1,1,18,9,9,0,1,122000,205000
160,1,2,81,1543,39,2,2,2,18,4,9,0,1,95705,172500
